Name,Email,City,Business
Team Fitness Personal Training - Kelowna,info@teamfitnessbc.com,,Team Fitness Personal Training - Kelowna
Crimson Hair Salon,crimsonhairsalon@gmail.com,,Crimson Hair Salon
La Bella Spa,bella@labella-spa.ca,,La Bella Spa
Pedi natural spa & nails,pedinaturalspa@gmail.com,,Pedi natural spa & nails
Crystal Nails & Spa,crystalnails@shaw.ca,,Crystal Nails & Spa
Amici's Salon Hair Skin Nails,amicis1@shaw.ca,,Amici's Salon Hair Skin Nails
Nails Next Door,info@nailsnextdoor.com,,Nails Next Door
THE TEN SPOT - west kelowna,getnailed@thetenspot.com,,THE TEN SPOT - west kelowna
Slate Salon & Spa,info@slatesalon.ca,,Slate Salon & Spa
Waxthetics,info@waxthetics.ca,,Waxthetics
Polished Perfect Nails (The District on Bernard Kelowna),info@polishedperfect.ca,,Polished Perfect Nails (The District on Bernard Kelowna)
DV Nails and Spa,dvnailsandspa@gmail.com,,DV Nails and Spa
Namaste Day Spa & Organic Skin Shop,info@namastespakelowna.com,,Namaste Day Spa & Organic Skin Shop
Purnama Style Lounge,info.purnamastylelounge@gmail.com,,Purnama Style Lounge
Pompous Full Esthetics Studio,angie.m.alcorn@gmail.com,,Pompous Full Esthetics Studio
City Chic Spray Tanning and Nails,spray.nail@gmail.com,,City Chic Spray Tanning and Nails
Waxcetera,info@waxcetera.com,,Waxcetera
Ego Beauty Nails & Academy,egobeautyca@outlook.com,,Ego Beauty Nails & Academy
Quinnâs Nails and Spa,quinnsnailsandspa@gmail.com,,Quinnâs Nails and Spa
Pro Nails & Spa,Pronailspa1710@gmail.com,,Pro Nails & Spa
Diamond You Nails and Beauty,diamondyounails@gmail.com,,Diamond You Nails and Beauty
Letaya Salon & Spa,letayasalonandspa@gmail.com,,Letaya Salon & Spa
At Your Fingertips Nails and Esthetics,ayfkelowna@gmail.com,,At Your Fingertips Nails and Esthetics
Dr. Andrew Dargie MD Medical Aesthetics,info@drdargie.com,,Dr. Andrew Dargie MD Medical Aesthetics
MAIA Medical Aesthetics & Injectables Academy,info@maiapro.com,,MAIA Medical Aesthetics & Injectables Academy
Smooth Effects Kelowna,kelowna@smootheffects.ca,,Smooth Effects Kelowna
Araya Skin,hello@arayaskin.com,,Araya Skin
Organic Glow Medical Aesthetics,info@ogmakelowna.com,,Organic Glow Medical Aesthetics
studio PURE Medical Aesthetics Inc.,info@studiopure.ca,,studio PURE Medical Aesthetics Inc.
Kelowna Medical Aesthetics,KelownaMedicalAesthetics@gmail.com,,Kelowna Medical Aesthetics
Lakeshore Vein & Aesthetics Clinic,care@veinskin.com,,Lakeshore Vein & Aesthetics Clinic
Top Skin Care,Info@topskincare.ca,,Top Skin Care
Care Dental,hello@caredental.ca,,Care Dental
Kelowna Orthodontics,info@kelownabraces.ca,,Kelowna Orthodontics
Dr Jeremie Hallett,care@discoversmiles.ca,,Dr Jeremie Hallett
Dr Brendon Burgess,Drburgess.ca@gmail.com,,Dr Brendon Burgess
Acorn Dental & Implant Center Rutland,acorndentalkelowna@gmail.com,,Acorn Dental & Implant Center Rutland
Midtown Kelowna Dental,perfectsmile@shaw.ca,,Midtown Kelowna Dental
Creekside Dental Clinic,info@creeksidedentalclinic.ca,,Creekside Dental Clinic
Ambrosi Place Dental Care,info@ambrosiplacedentalcare.com,,Ambrosi Place Dental Care
Lifestyle Dentistry,smile@ldkelowna.com,,Lifestyle Dentistry
True Dental,info@truedental.ca,,True Dental
Mission Park Dental Kelowna,info@missionparkdental.com,,Mission Park Dental Kelowna
Access Dental Centre Kelowna,info@accessdentalkelowna.ca,,Access Dental Centre Kelowna
Okanagan Periodontics,reception@okanaganperiodontics.com,,Okanagan Periodontics
CO2llaborative Care and Research,welcome@co2llab.care,,CO2llaborative Care and Research
LifeStrength Dental Centre,reception@drsokhisandhu.com,,LifeStrength Dental Centre
Orchard Plaza Dental,info@orchardplazadental.com,,Orchard Plaza Dental
Advance Dental,kelowna@advancesmiles.ca,,Advance Dental
Honce Dentistry,info@honcedentistry.com,,Honce Dentistry
Kelowna Dental Solutions,drmark@kelownadentalsolutions.com,,Kelowna Dental Solutions
Capri Dental Prosthetics,info@okprostho.ca,,Capri Dental Prosthetics
Pandosy Village Dental,pandosydental@shaw.ca,,Pandosy Village Dental
Swift Dentistry,info@swiftdental.ca,,Swift Dentistry
Orchard Smiles Dentistry,hello@orchardsmiles.ca,,Orchard Smiles Dentistry
Kelowna Denture Clinic,admin@kelownadentureclinic.com,,Kelowna Denture Clinic
Kelowna Dental Centre,info@kelowna-dental-centre.ca,,Kelowna Dental Centre
Mission Creek Orthodontics,admin@missioncreekortho.com,,Mission Creek Orthodontics
Worman Commercial,info@worman.ca,,Worman Commercial
Appelt Management Inc.,info@appeltproperties.com,,Appelt Management Inc.
Amar Grewal - Kelowna Real Estate,ylwhomes@gmail.com,,Amar Grewal - Kelowna Real Estate
Portico Property Services Ltd.,owners@porticoproperty.ca,,Portico Property Services Ltd.
Dan Singla - Oakwyn Realty Okanagan,dan.singla@gmail.com,,Dan Singla - Oakwyn Realty Okanagan
Kurtis Janot - Licensed Property ManagerÂ® - Associated Property Management,info@associatedpm.ca,,Kurtis Janot - Licensed Property ManagerÂ® - Associated Property Management
HM Commercial Realty,info@hmcommercial.com,,HM Commercial Realty
604 Real Estate Service Inc,info@604realestate.ca,,604 Real Estate Service Inc
"Elevate Vacations Kelowna, British Columbia",info@elevatevacations.com,,"Elevate Vacations Kelowna, British Columbia"
"Venture Commercial, a Division of Venture Realty Corp.",info@venturecommercial.ca,,"Venture Commercial, a Division of Venture Realty Corp."
Argus Property Management Ltd,corporate@argusproperties.ca,,Argus Property Management Ltd
Andrew Smith - Royal LePage Kelowna,andy@okanaganbc.com,,Andrew Smith - Royal LePage Kelowna
Nicole McWilliams Real Estate,nicolemcwilliamsproperties@gmail.com,,Nicole McWilliams Real Estate
Roam Vacation Rentals Inc. / Roam Destinations Corporate Rentals,booked@roamvacationrentals.com,,Roam Vacation Rentals Inc. / Roam Destinations Corporate Rentals
Jas Khunkhun Real Estate,jaskhun88@gmail.com,,Jas Khunkhun Real Estate
RMD Group Of Companies,info@rmdgroup.com,,RMD Group Of Companies
Kyle B. Janzen - Personal Real Estate Corporation,kylebjanzen@gmail.com,,Kyle B. Janzen - Personal Real Estate Corporation
Lifty Life Vacation Rentals,Hello@liftylife.com,,Lifty Life Vacation Rentals
Lake Life Property Management,info@lakelifepropertymgmt.ca,,Lake Life Property Management
Canada Flex Realty Group,info@flexrealtygroup.ca,,Canada Flex Realty Group
Stober Group,connect@stobergroup.com,,Stober Group
Westcorp Kelowna,mail@westcorp.net,,Westcorp Kelowna
Curtis Baszucki Personal RealEstateCorporation - Agent - Associated Property Management (2001) Ltd.,curtis@associatedpm.ca,,Curtis Baszucki Personal RealEstateCorporation - Agent - Associated Property Management (2001) Ltd.
Ariane Stevenson Property Manager - Century 21 Assurance Realty,arianepropertymanagement@gmail.com,,Ariane Stevenson Property Manager - Century 21 Assurance Realty
Tafco Realty Corp,admin@tafco.ca,,Tafco Realty Corp
The Wellness Spa,contact@wellnessspa.ca,,The Wellness Spa
Sarah Cushing Registered Massage Therapy,sarahokanaganrmt@gmail.com,,Sarah Cushing Registered Massage Therapy
Gecko Massage Therapy,geckomassagetherapy@gmail.com,,Gecko Massage Therapy
"Opal Thai Massage and Spa on Saint Paul street, Kelowna, BC",opalthaispa2024@gmail.com,,"Opal Thai Massage and Spa on Saint Paul street, Kelowna, BC"
The Recovery Spa,hello@therecoveryspa.ca,,The Recovery Spa
Beyond Wrapture Mind & Body Care Day Spa & Retreat,appointment888@beyondwrapture.com,,Beyond Wrapture Mind & Body Care Day Spa & Retreat
Landmark Wellness,info@landmarkwellness.ca,,Landmark Wellness
The Core Centre of Health,reception@thecorekelowna.com,,The Core Centre of Health
Jenna Millsap Registered Massage Therapist,admin@klochiropractic.ca,,Jenna Millsap Registered Massage Therapist
OKGN Valley Massage,info@okgnvalleymassage.com,,OKGN Valley Massage
AthElite Health Massage Therapy,info@athelitehealth.com,,AthElite Health Massage Therapy
Deep Werks Massage Therapy,gary@deepwerks.com,,Deep Werks Massage Therapy
Maguire Massage Therapy,kristi@maguiremassagetherapy.ca,,Maguire Massage Therapy
Kettle Valley Massage Therapy,jenniferrmt@hotmail.com,,Kettle Valley Massage Therapy
KIAI SHIATSU,info@kiaishiatsu.com,,KIAI SHIATSU
CranioSacral Therapy & Massage,tia@craniosacralplus.ca,,CranioSacral Therapy & Massage
Vital Massage Therapy,info@vitalmassage.ca,,Vital Massage Therapy
Viva Massage,hello@vivamassage.ca,,Viva Massage
All-Activity Massage Therapy & Health Center,all-activity@shaw.ca,,All-Activity Massage Therapy & Health Center
KLWNA Health & Wellness,info@klwna.ca,,KLWNA Health & Wellness
Center Therapeutics,CenterTherapeutics@outlook.com,,Center Therapeutics
Pro Motion Clinic,lars@promotionclinic.com,,Pro Motion Clinic
Hygge Registered Massage Therapy,nancyharrisrmt@gmail.com,,Hygge Registered Massage Therapy
LOTUS MASSAGE THERAPY & OSTEOPATHY,info@lotusmassagetherapy.ca,,LOTUS MASSAGE THERAPY & OSTEOPATHY
Well Kneaded Massage Therapy,wkmt.weys@gmail.com,,Well Kneaded Massage Therapy
Mind Body Soul Integrative Clinic,info@mindbodysoulkelowna.ca,,Mind Body Soul Integrative Clinic
Mission Massage Therapy Centre,info@missionmassage.ca,,Mission Massage Therapy Centre
Helios Massage Therapy,info@heliosrmt.ca,,Helios Massage Therapy
Restore Massage Therapist Corporation,restorekelowna@gmail.com,,Restore Massage Therapist Corporation
Amber Dawn Registered Massage Therapy,amberdawnrmt@gmail.com,,Amber Dawn Registered Massage Therapy
Cotton Massage Therapy,danacotton@shaw.ca,,Cotton Massage Therapy
Horizon Massage,info@HorizonMassage.ca,,Horizon Massage
Upper Mission Massage Therapy,uppermissionmassage@gmail.com,,Upper Mission Massage Therapy
Dream Dance Club Kelowna,dreamdanceclubkelowna@gmail.com,,Dream Dance Club Kelowna
West K Dance,info@westkdance.com,,West K Dance
The Canadian School of Ballet,info@csballetdance.com,,The Canadian School of Ballet
Kelowna Community Theatre,theatre@kelowna.ca,,Kelowna Community Theatre
Studio9 School of the Arts,office@studio9.ca,,Studio9 School of the Arts
Hello Darlin',info@hellodarlin.ca,,Hello Darlin'
Highland Fire Dance Academy,highlandfiredance@gmail.com,,Highland Fire Dance Academy
Amira Brooks Flamenco,amirabrooksflamenco@gmail.com,,Amira Brooks Flamenco
Mission Dance Centre,admin@missiondancecentre.com,,Mission Dance Centre
Latinesque Ballroom & Latin Dance,warren@latinesque.com,,Latinesque Ballroom & Latin Dance
"Kinshira Entertainment - Circus, Fire, Stilt-Walkers, Acrobats",kinshira.entertainment@gmail.com,,"Kinshira Entertainment - Circus, Fire, Stilt-Walkers, Acrobats"
McKinnon Ross,ross@leadingedgephysio.com,,McKinnon Ross
Body-Wize - Stuctural Integration Therapy,ross.short@shaw.ca,,Body-Wize - Stuctural Integration Therapy
Pro-Active Physiotherapy,info@proactivephysiotherapy.ca,,Pro-Active Physiotherapy
SCS Physio,scsphysio@gmail.com,,SCS Physio
Glenda Hart Physiotherapy,glendahartphysio@live.ca,,Glenda Hart Physiotherapy
VIVA Pediatric Physio by Milena Perini,milena@vivaphysiotherapy.ca,,VIVA Pediatric Physio by Milena Perini
Nucca Kelowna,info@nuccakelowna.com,,Nucca Kelowna
Rutland Physical Therapy Inc.,info@rutlandphysio.ca,,Rutland Physical Therapy Inc.
Kelowna Physiotherapy Associates,admin@kelownaphysiotherapy.com,,Kelowna Physiotherapy Associates
Black Mountain Physio,bmtnphysio@gmail.com,,Black Mountain Physio
Steph Brown (Skoreyko) Physiotherapist,stephanie@stephbrownpt.ca,,Steph Brown (Skoreyko) Physiotherapist
Shockwave Therapy Kelowna,staff@foundationkelowna.com,,Shockwave Therapy Kelowna
Praktis Physiotherapy,sabina@praktisphysiotherapy.ca,,Praktis Physiotherapy
Hager Orthopaedic Clinics,hager.ortho.prosthetics@gmail.com,,Hager Orthopaedic Clinics
Momentum Kelowna,admin@momentumkelowna.com,,Momentum Kelowna
Lighthouse Chiropractic and Integrative Health,info@lighthousehealth.ca,,Lighthouse Chiropractic and Integrative Health
Bachmeier Ryan,landmark@leadingedgephysio.com,,Bachmeier Ryan
Westside Physiotherapy & Acupuncture,info@westsidephysio.net,,Westside Physiotherapy & Acupuncture
Harmony Chiropractic & Acupuncture Kelowna,admin@theharmonyclinic.com,,Harmony Chiropractic & Acupuncture Kelowna
Orchard Chiropractic & Physiotherapy,admin@orchardchiropractic.ca,,Orchard Chiropractic & Physiotherapy
Derek Defaria Osteopathy Kelowna,derekdefariaosteopathy@gmail.com,,Derek Defaria Osteopathy Kelowna
Brooke Attwell: Century 21 Assurance Realty LTD.,brooke.attwell@century21.ca,,Brooke Attwell: Century 21 Assurance Realty LTD.
WATSON BROTHERS TEAM - Coldwell Banker Horizon Realty KELOWNA,info@watson-brothers.com,,WATSON BROTHERS TEAM - Coldwell Banker Horizon Realty KELOWNA
UNISON Jane Hoffman Realty,inquiry@janehoffman.com,,UNISON Jane Hoffman Realty
Amy Blake - Real Estate Agent Kelowna,amy@homesbyamy.ca,,Amy Blake - Real Estate Agent Kelowna
Liz Athans - Macdonald Realty,liz@garyathans.com,,Liz Athans - Macdonald Realty
Ethan Rutley Kelowna Real Estate,ethan@kelownalife.ca,,Ethan Rutley Kelowna Real Estate
Joan Wolf - Personal Real Estate Corporation,joan.wolf@sothebysrealty.ca,,Joan Wolf - Personal Real Estate Corporation
"John McMahon, PREC* - Realtor at Royal Lepage Kelowna",johnmcmahon@royallepage.ca,,"John McMahon, PREC* - Realtor at Royal Lepage Kelowna"
Maureen Yakimchuk REAL ESTATE AGENT,assurancerealty0734@century21.ca,,Maureen Yakimchuk REAL ESTATE AGENT
Danielle Grundy,info@daniellegrundy.ca,,Danielle Grundy
The Krieg Family RE/MAX Kelowna Real Estate,colin@kriegfamily.ca,,The Krieg Family RE/MAX Kelowna Real Estate
Barbara Boyd Royal LePage Kelowna - Kelowna Real Estate,barbaraboyd@royallepage.ca,,Barbara Boyd Royal LePage Kelowna - Kelowna Real Estate
Emily Zurrer Real Estate,emily.zurrer@century21.ca,,Emily Zurrer Real Estate
Matt Glen Kelowna and Okanagan Realtor,Matt.Glen@Century21.ca,,Matt Glen Kelowna and Okanagan Realtor
Team Hamer-Jackson,team@teamhamerjackson.com,,Team Hamer-Jackson
Kent Armstrong Realtor RE/MAX Kelowna,kent@kentarmstrong.ca,,Kent Armstrong Realtor RE/MAX Kelowna
Josh Miko Personal Real Estate Corp. - Chamberlain Property Group,josh@shieldrealestate.ca,,Josh Miko Personal Real Estate Corp. - Chamberlain Property Group
Kirby Sinnott Real Estate Services,kirby@kelownahomecollective.ca,,Kirby Sinnott Real Estate Services
Collective Real Estate Group,Chris@KelownaHomes.com,,Collective Real Estate Group
The Mayne Brothers,info@pwrg.ca,,The Mayne Brothers
Derek Leippi - 2 Percent Realty Kelowna,derek@derekleippi.com,,Derek Leippi - 2 Percent Realty Kelowna
Tanya Grant - MCNE-RE/MAX Kelowna,tanya@tanyagrant.ca,,Tanya Grant - MCNE-RE/MAX Kelowna
RE/MAX Commercial: Kris McLaughlin Personal Real Estate Corporation,kris@commercialbc.com,,RE/MAX Commercial: Kris McLaughlin Personal Real Estate Corporation
Samantha Ashly | Commercial RealtorÂ®,samantha@shopcommercial.ca,,Samantha Ashly | Commercial RealtorÂ®
Jaime Briggs Realtor,briggsonhomesrealestate@gmail.com,,Jaime Briggs Realtor
Kelowna Real Estate Agent Trish Cenci,trishcenci@gmail.com,,Kelowna Real Estate Agent Trish Cenci
"Bo Skapski, Realtor",bo@boknowshomes.com,,"Bo Skapski, Realtor"
Aaron Parker Personal Real Estate Corporation,aaron@aaronparker.ca,,Aaron Parker Personal Real Estate Corporation
Kelowna Real Estate | Dawson Yates | REALTOR,dawson@coldwellbanker.ca,,Kelowna Real Estate | Dawson Yates | REALTOR
Imagine Realty,info@imaginerealty.ca,,Imagine Realty
Derek Weatherhead - Royal LePage - Kelowna Real Estate,derekweatherhead@me.com,,Derek Weatherhead - Royal LePage - Kelowna Real Estate
RE/MAX : Brendan Stoneman,brendan@brendanstoneman.com,,RE/MAX : Brendan Stoneman
Sharon Black,Sharon@sharonblack.ca,,Sharon Black
DK Nguyen - Kelowna Realtor,dk.nguyen@century21.ca,,DK Nguyen - Kelowna Realtor
RLP Kelowna I *PREC Cory Alexander I Okanagan Real Estate Professionals,okgnrealestate@gmail.com,,RLP Kelowna I *PREC Cory Alexander I Okanagan Real Estate Professionals
Kevin Chepil - 2 Percent Realty Interior,kevin@kevinchepil.ca,,Kevin Chepil - 2 Percent Realty Interior
Kasie Weiss REALTOR RE/MAX Kelowna,kasie@kasieweiss.com,,Kasie Weiss REALTOR RE/MAX Kelowna
Mortgages by Balzor Singh,balzormtg@gmail.com,,Mortgages by Balzor Singh
Jatinder Dhanoa - Kelowna Mortgage Broker - DLC Lending Hub,jdhanoa@dominionlending.ca,,Jatinder Dhanoa - Kelowna Mortgage Broker - DLC Lending Hub
Kelownas Best Broker,invis@invis.ca,,Kelownas Best Broker
Dana Stauber Mortgage Broker Invis Inc.,danastauber@invis.ca,,Dana Stauber Mortgage Broker Invis Inc.
Creative Mortgage - Shaun Pierce,spierce@creativemortgage.ca,,Creative Mortgage - Shaun Pierce
Cultivate + Evolve Financial,info@cefinancial.ca,,Cultivate + Evolve Financial
John Antle Mortgages,office@johnantle.com,,John Antle Mortgages
Jewels Ferris Mortgages - Kelowna Mortgage Broker,Jewels@JewelsFerris.com,,Jewels Ferris Mortgages - Kelowna Mortgage Broker
The Mortgage Group - Wes Rosso - Kelowna,wes.rosso@mortgagegroup.com,,The Mortgage Group - Wes Rosso - Kelowna
Jill Gruen - Mortgage Broker,broker@jillgruen.com,,Jill Gruen - Mortgage Broker
Oliver Mortgage | Kelowna Mortgage Broker,dan@olivermortgage.com,,Oliver Mortgage | Kelowna Mortgage Broker
Aman Gill- Mortgage Broker- Kelowna- Dominion Lending Centres,amangill@dominionlending.ca,,Aman Gill- Mortgage Broker- Kelowna- Dominion Lending Centres
DLC Bluetree Mortgages WEST - Kelowna,reception@bluetreemortgages.com,,DLC Bluetree Mortgages WEST - Kelowna
April Dunn - The Red Door Mortgage Group - Mortgage Architects,april@reddoormortgage.com,,April Dunn - The Red Door Mortgage Group - Mortgage Architects
Borrow With Bonnie,bonnie@borrowwithbonnie.ca,,Borrow With Bonnie
Kelowna Mortgage Broker | Kyle Wilson,mail@kylewilson.ca,,Kelowna Mortgage Broker | Kyle Wilson
Kelowna's Lifestyle Mortgage Broker - Ryan Avery,ryan@ryanavery.ca,,Kelowna's Lifestyle Mortgage Broker - Ryan Avery
"Jacquie Bushell, AMP",jacquie@jacquiebushell.ca,,"Jacquie Bushell, AMP"
Colin Carrier Mortgages,colincarrier@dominionlending.ca,,Colin Carrier Mortgages
Marcey Barber Dion,mbarber@dominionlending.ca,,Marcey Barber Dion
Kelowna Home Mortgages Inc,trishb@creativemortgage.ca,,Kelowna Home Mortgages Inc
"Mortgage Broker, Catherine Pynappels, BlueTree Mortgages WEST",kelownalending@gmail.com,,"Mortgage Broker, Catherine Pynappels, BlueTree Mortgages WEST"
Navi Gaba Mortgages - Bluetree Mortgages West DLC,Navi@gabamortgages.com,,Navi Gaba Mortgages - Bluetree Mortgages West DLC
Pauline,pauline@mybcmortgage.ca,,Pauline
Huber Mortgage,jared@forsalekelowna.ca,,Huber Mortgage
Best Rate Mortgage Kelowna DLC Blue Tree Mortgages West,info@thebestrate.ca,,Best Rate Mortgage Kelowna DLC Blue Tree Mortgages West
MyMortgage.ca,John@mymortgage.ca,,MyMortgage.ca
Cayley Jorgenson - DLC Homeline Mortgages,jorgenson.cayley@gmail.com,,Cayley Jorgenson - DLC Homeline Mortgages
Allison Swanson - Mortgage Broker,allison@allisonswanson.ca,,Allison Swanson - Mortgage Broker
Aquarius Mortgages Inc,romany@aquariusmortgages.com,,Aquarius Mortgages Inc
Rebecca Armitage Mortgages - Verico,rebecca@armitagemortgage.com,,Rebecca Armitage Mortgages - Verico
Kristy Towson - Mortgage Broker Kelowna,kristytowson@gmail.com,,Kristy Towson - Mortgage Broker Kelowna
"Lori Lalonde, Mortgage Specialist",lori.lalonde@verico.ca,,"Lori Lalonde, Mortgage Specialist"
Ash Simpson | Creative Mortgage,ash@insightfinance.ca,,Ash Simpson | Creative Mortgage
White House Mortgages,deb@debwhite.ca,,White House Mortgages
Dominion Lending Centres - Angus Dunlop,angusdunlop@dominionlending.ca,,Dominion Lending Centres - Angus Dunlop
"Surbhi Goyal, CFPÂ® (Mortgage Broker)",info@mortgageswithsurbhi.com,,"Surbhi Goyal, CFPÂ® (Mortgage Broker)"
LendingMax,privacyofficer@verico.ca,,LendingMax
Michelle Scheibel Mortgage Broker Kelowna,getamortgagedone@gmail.com,,Michelle Scheibel Mortgage Broker Kelowna
Dominion Lending Centres - Craig Barton,craig@craigbarton.ca,,Dominion Lending Centres - Craig Barton
Falcon Engineering Ltd.,info@falcon.ca,,Falcon Engineering Ltd.
WITS Metal Fabrication,office@witsmetalfab.ca,,WITS Metal Fabrication
Ecowater Kelowna,info@ecowaterkelowna.com,,Ecowater Kelowna
Wytek Direct,Sales@wytekdirect.com,,Wytek Direct
Railside Brewing Ltd,beers@railsidebrewing.ca,,Railside Brewing Ltd
Asdac CNC Machining Ltd,sales@asdac.net,,Asdac CNC Machining Ltd
Trident Manufacturing Ltd,info@tridentmanufacturing.ca,,Trident Manufacturing Ltd
Heartwood Manufacturing,info@heartwood.ca,,Heartwood Manufacturing
HTR Windows and Doors - Kelowna Windows Replacement,office@htrwindows.ca,,HTR Windows and Doors - Kelowna Windows Replacement
Argo Projects Inc. - Commercial & Light Industrial Construction,hello@argoprojects.ca,,Argo Projects Inc. - Commercial & Light Industrial Construction
Doppelmayr Canada Ltd.,dm@doppelmayr.com,,Doppelmayr Canada Ltd.
Tricor Industries Ltd / Welding,brady@tricorwelding.ca,,Tricor Industries Ltd / Welding
K.L.O. Farm Market,klo.farm.market@gmail.com,,K.L.O. Farm Market
Microm Machining,info@micrommachining.com,,Microm Machining
OPT Precision Tool Manufacturing Ltd,optadm1@telus.net,,OPT Precision Tool Manufacturing Ltd
Unicast Inc.,quotes@unicast.ca,,Unicast Inc.
West Manufacturing Ltd,info@westmfg.net,,West Manufacturing Ltd
Urban Distilleries,info@urban-distilleries.com,,Urban Distilleries
Interior Electronics Ltd,sales@interior.bc.ca,,Interior Electronics Ltd
Photo Alchemist Lab,contact@photoalchemistlab.com,,Photo Alchemist Lab
Northside Industries,info@northsideind.ca,,Northside Industries
Delta-T Consultants Ltd.,info@delta-t.ca,,Delta-T Consultants Ltd.
Trueline Moulding Group Inc.,info@truelinemoulding.com,,Trueline Moulding Group Inc.
Get Bent Metal Fabrication Ltd,getbentmetalfab@telus.net,,Get Bent Metal Fabrication Ltd
Hazel Manufacturing Inc,info@clearoma.com,,Hazel Manufacturing Inc
FPS Fluid Power Solutions Inc.,sales@fluidpowersolutions.ca,,FPS Fluid Power Solutions Inc.
Pendozi Machine Shop Ltd,pendozi@telus.net,,Pendozi Machine Shop Ltd
Claymasters Kelowna,gmonty55@gmail.com,,Claymasters Kelowna
BOX AND LID (Take Out Food Packaging and Restaurant Supplies),boxandlid@gmail.com,,BOX AND LID (Take Out Food Packaging and Restaurant Supplies)
Rocky Point Engineering Ltd.,info@rpeng.ca,,Rocky Point Engineering Ltd.
Pacific Industrial Solutions Inc.,pis@shawbiz.ca,,Pacific Industrial Solutions Inc.
Central Okanagan Economic Development Commission,foi.privacy@rdco.com,,Central Okanagan Economic Development Commission
The Laser Guy,skrivak@telus.net,,The Laser Guy
Anodyne Electronics Manufacturing Corporation (AEM),sales@aem-corp.com,,Anodyne Electronics Manufacturing Corporation (AEM)
ANR Construction Ltd.,info@anrconstruction.ca,,ANR Construction Ltd.
Cedarland Renovation,haik@cedarlandrenovation.com,,Cedarland Renovation
G-Con Ltd,info@g-con.ca,,G-Con Ltd
LMC Earthworks & Equipment,lmcequipment.contact@gmail.com,,LMC Earthworks & Equipment
Matcon Construction Ltd,data@matcongroup.com,,Matcon Construction Ltd
Chriscan Construction,info@chriscan.com,,Chriscan Construction
Team Construction Management (1981) Ltd,team@teamconstruction.ca,,Team Construction Management (1981) Ltd
3rd Generation Homes Ltd.,office@3rdgenhomes.com,,3rd Generation Homes Ltd.
Encan Construction,encan-office@shaw.ca,,Encan Construction
Bercum Builders Inc. - Custom Home Builder Kelowna & Vernon,info@bercumbuilders.com,,Bercum Builders Inc. - Custom Home Builder Kelowna & Vernon
Lehmann Construction Group | LCG,Dan@LehmannConstructionGroup.com,,Lehmann Construction Group | LCG
Degroot Custom Homes,admin@degrootcustomhomes.com,,Degroot Custom Homes
Traine Construction & Development,info@traine.ca,,Traine Construction & Development
Marvel Pro Contracting and Renovations Ltd.,marvelpcr@gmail.com,,Marvel Pro Contracting and Renovations Ltd.
Okanagan Inspired Construction Inc.,info@okanaganconstruction.ca,,Okanagan Inspired Construction Inc.
Plan B Contractors Inc.,info@planbcontractors.com,,Plan B Contractors Inc.
Trivium Contracting & Shade Sails,admin@triviumcontracting.com,,Trivium Contracting & Shade Sails
Weninger Construction & Design Ltd,info@weningerconstruction.com,,Weninger Construction & Design Ltd
Mission Group Enterprises,info@missiongroup.ca,,Mission Group Enterprises
TKI Construction Ltd.,build@tkiconstruction.ca,,TKI Construction Ltd.
SSK Construction Ltd,infosskstucco@gmail.com,,SSK Construction Ltd
Okanada Construction & Project Management,blake@okanada.net,,Okanada Construction & Project Management
Okanagan Boys Construction,okanaganboysconstruction@gmail.com,,Okanagan Boys Construction
CorWest Builders,info@corwestbuilders.com,,CorWest Builders
Littco Enterprises Ltd.,info@littco.ca,,Littco Enterprises Ltd.
Froese & Co. Building and Design Inc.,info@froeseandco.com,,Froese & Co. Building and Design Inc.
Emil Anderson Group,hello@emilanderson.ca,,Emil Anderson Group
Arnold Construction Management Ltd,jason@arnoldconstruction.co,,Arnold Construction Management Ltd
Kerkhoff Develop-Build,info@kerkhoff.ca,,Kerkhoff Develop-Build
Dynamic Constructors,hello@dynamicconstructors.ca,,Dynamic Constructors
New Beginning Construction,dayne@newbeginningconstruction.ca,,New Beginning Construction
West Kelowna Plumbing,jordan@westkelownaplumbing.ca,,West Kelowna Plumbing
A1 Choice Plumbing & Drain Inc West Kelowna,service@a1choiceplumbing.com,,A1 Choice Plumbing & Drain Inc West Kelowna
Conquer Plumbing Ltd.,Chris@ConquerPlumbing.ca,,Conquer Plumbing Ltd.
Valley Plumbing & Heating,generaloffice@valleyplumbingandheating.com,,Valley Plumbing & Heating
"Waterworks Plumbing, Heating, Gas, & Sprinklers",info@waterworksmechanical.ca,,"Waterworks Plumbing, Heating, Gas, & Sprinklers"
Living Water Plumbing Service,info@livingwaterplumbing.ca,,Living Water Plumbing Service
Phillips Plumbing Heating and Air Conditioning,info@phillipsplumbingandheating.ca,,Phillips Plumbing Heating and Air Conditioning
Murray's Heating & Cooling Solutions LTD,service@murrayssolutions.com,,Murray's Heating & Cooling Solutions LTD
FSQ Plumbing And Gas Fitting Ltd,Service@FSQPlumbing.ca,,FSQ Plumbing And Gas Fitting Ltd
Conquest Plumbing Solutions - Kelowna,CONQUESTPLUMBINGLTD@GMAIL.COM,,Conquest Plumbing Solutions - Kelowna
Checkered Plumbing and Heating,ash@checkeredplumbingandheating.com,,Checkered Plumbing and Heating
Scott Alan Plumbing and Heating Ltd.,contact@scottalan.ca,,Scott Alan Plumbing and Heating Ltd.
Kelowna Plumbing Services,kelownaplumbingservices@gmail.com,,Kelowna Plumbing Services
